ip,cmts,mac,sg,Upstream,online,partial_count,ps,reason-5,reason-6,reason-9,reason-11,percent,percent_updated
66.185.94.136,cmts83.rchrd,45,45,10/12.0w,422,419,415,1,407,0,0,98.34%,99.29%
69.63.244.123,cmts85.etob,26,26,10/2.0w,382,380,304,1,295,0,0,79.58%,99.48%
66.185.94.190,cmts89.ktgc,40,40,11/15.0w,383,376,376,2,370,0,0,98.17%,98.17%
69.63.244.213,cmts80.clwd,12,12,12/0.0w,350,343,343,2,340,0,0,98.00%,98.00%
66.185.94.190,cmts89.ktgc,39,39,11/14.0w,347,336,339,1,335,0,0,97.69%,96.83%
66.185.94.229,cmts87.flfrd,16,16,12/15.0w,367,316,321,0,315,0,0,87.47%,86.10%
69.63.244.228,cmts90.ktgc,45,45,10/8.0w,320,309,316,2,305,3,0,98.75%,96.56%
69.63.244.202,cmts93.ktgc,29,29,11/4.0w,346,286,313,15,288,9,0,90.46%,82.66%
66.185.94.205,cmts82.lndn,40,40,11/15.0w,307,284,286,4,278,0,0,93.16%,92.51%
69.63.244.227,cmts77.stth,44,44,10/6.0w,286,273,271,0,268,0,0,94.76%,95.45%
69.63.244.202,cmts93.ktgc,30,30,11/5.0w,252,234,241,0,239,0,1,95.63%,92.86%
66.185.94.246,cmts92.slnt,6,6,12/5.0w,336,226,235,0,231,0,2,69.94%,67.26%
69.63.244.221,cmts78.basp,30,30,11/8.0w,190,211,146,0,145,1,0,76.84%,111.05%
69.63.244.171,cmts88.lndn,2,2,13/1.0w,328,203,205,1,202,0,0,62.50%,61.89%
69.63.244.60,cmts82.wlfdle,5,5,13/4.0w,277,197,215,28,186,0,0,77.62%,71.12%
69.63.244.221,cmts78.basp,13,13,13/14.0w,183,182,181,0,123,0,58,98.91%,99.45%
69.63.244.93,cmts83.mtwd,6,6,13/10.0w,181,178,180,3,152,0,23,99.45%,98.34%
69.63.244.143,cmts80.nmkt,31,31,11/9.0w,232,170,217,10,189,1,2,93.53%,73.28%
69.63.244.12,cmts76.cmbr,22,22,12/10.0w,188,142,186,0,170,2,14,98.94%,75.53%
66.185.94.223,cmts76.ktgc,36,36,11/15.0w,135,135,135,2,125,1,3,100.00%,100.00%
66.185.94.177,cmts78.bloor,44,44-BDR,10/7.0w,242,122,120,0,98,0,1,49.59%,50.41%
24.153.0.249,cmts80.cmbr,24,24,12/14.0w,240,118,161,5,156,0,0,67.08%,49.17%
24.153.0.249,cmts80.cmbr,25,25,11/0.0w,257,98,127,8,113,3,1,49.42%,38.13%
69.63.244.247,cmts95.lndn,17,17-BDR,12/1.0w,241,91,211,1,210,0,0,87.55%,37.76%
69.63.244.93,cmts83.mtwd,6,6-BDR,13/11.0w,92,91,92,1,5,0,86,100.00%,98.91%
66.185.94.136,cmts83.rchrd,46,46,10/13.0w,180,87,104,1,90,0,1,57.78%,48.33%
24.153.0.227,cmts21.mtnk,78,78-BDR,78:0/1.0w,193,86,92,0,9,78,5,47.67%,44.56%
24.153.0.229,cmts21.nmkt,109,109,109:0/0.0w,85,84,85,0,2,83,0,100.00%,98.82%
69.63.244.53,cmts76.popf,19,19,12/7.0w,150,84,102,0,5,96,1,68.00%,56.00%
24.153.0.249,cmts80.cmbr,26,26,11/1.0w,260,82,195,0,194,0,0,75.00%,31.54%
69.63.244.211,cmts87.grnsbr,1,1,13/0.0w,252,76,150,4,146,0,0,59.52%,30.16%
69.63.244.171,cmts88.lndn,18,18-BDR,12/3.0w,187,76,156,1,152,2,1,83.42%,40.64%
69.63.244.224,cmts85.rchrd,29,29-BDR,10/9.0w,151,63,63,0,62,0,0,41.72%,41.72%
69.63.244.165,cmts77.ym,30,30,11/5.0w,139,62,70,0,59,11,0,50.36%,44.60%
24.153.0.218,cmts84.wlfdle,19,19,12/4.0w,117,58,67,0,0,0,67,57.26%,49.57%
69.63.244.12,cmts76.cmbr,22,22-BDR,12/11.0w,169,48,168,1,3,0,164,99.41%,28.40%
66.185.94.207,cmts83.lndn,36,36,11/11.0w,174,47,111,13,96,2,0,63.79%,27.01%
69.63.244.177,cmts86.ktgc,38,38,11/13.0w,165,46,68,0,47,0,21,41.21%,27.88%
24.153.0.140,cmts80.brntfd,23,23,12/6.0w,111,45,45,2,36,0,0,40.54%,40.54%
24.153.0.230,cmts22.mtnk,101,101-BDR,101:0/1.0w,46,44,47,0,1,46,0,102.17%,95.65%
24.153.0.195,cmts90.cmstk,5,5-BDR,13/9.0w,82,38,38,0,38,0,0,46.34%,46.34%
24.153.0.180,cmts85.flfrd,4,4-BDR,13/1.0w,154,35,73,1,5,67,0,47.40%,22.73%
64.71.245.138,cmts25.mtnk,15,15,15:0/0.0w,49,29,29,0,0,29,0,59.18%,59.18%
69.63.244.163,cmts84.slnt,3,3,12/2.0w,151,29,68,0,1,67,0,45.03%,19.21%
69.63.244.145,cmts82.hnsn,27,27-BDR,11/0.0w,72,27,63,0,4,9,50,87.50%,37.50%
24.153.0.227,cmts21.mtnk,17,17-BDR,17:0/1.0w,20,20,20,0,0,20,0,100.00%,100.00%
24.153.0.244,cmts21.bloor,121,121-BDR,121:0/1.0w,19,16,16,0,0,16,0,84.21%,84.21%
24.153.0.187,cmts22.hnsn,141,141,141:0/0.0w,152,16,110,0,3,107,0,72.37%,10.53%
24.153.0.159,cmts88.etob,27,27,10/4.0w,31,14,15,0,1,0,14,48.39%,45.16%
69.63.244.239,cmts21.mtwd,62,62-BDR,62:0/1.0w,173,13,74,0,10,31,33,42.77%,7.51%
69.63.244.239,cmts21.mtwd,122,122,122:0/0.0w,169,11,2433,0,9,2418,6,1439.64%,6.51%
24.153.0.233,cmts76.slnt,9,9,12/8.0w,18,11,8,0,8,0,0,44.44%,61.11%
24.153.0.236,cmts21.ym,23,23,23:0/0.0w,24,11,11,0,11,0,0,45.83%,45.83%
69.63.244.92,cmts77.orvl,30,30,11/13.0w,2,10,2,0,0,0,2,100.00%,500.00%
69.63.244.223,cmts23.ajax,102,102-BDR,102:0/1.0w,9,9,9,0,9,0,0,100.00%,100.00%
24.153.0.187,cmts22.hnsn,37,37,37:0/0.0w,156,9,145,0,5,128,11,92.95%,5.77%
69.63.244.252,cmts88.mtmc,30,30,10/10.0w,27,8,14,0,8,6,0,51.85%,29.63%
66.185.94.249,cmts23.ym,55,55-BDR,55:0/1.0w,126,8,105,0,6,62,37,83.33%,6.35%
24.153.0.230,cmts22.mtnk,86,86-BDR,86:0/1.0w,16,7,7,0,7,0,0,43.75%,43.75%
64.71.245.138,cmts25.mtnk,93,93-BDR,93:0/1.0w,118,6,86,0,4,15,67,72.88%,5.08%
69.63.244.186,cmts86.mtnk,27,27-BDR,10/5.0w,80,6,42,0,5,7,30,52.50%,7.50%
69.63.244.230,cmts81.mtwd,2,2,13/2.0w,45,6,29,0,5,18,6,64.44%,13.33%
24.153.0.178,cmts21.wlfdle,142,142-BDR,142:0/1.0w,107,6,48,0,3,45,0,44.86%,5.61%
24.153.0.143,cmts22.wlfdle,110,110-BDR,110:0/1.0w,86,6,49,0,4,15,29,56.98%,6.98%
66.185.94.179,cmts89.ym,1,1-BDR,13/1.0w,126,6,99,0,5,73,21,78.57%,4.76%
69.63.244.223,cmts23.ajax,62,62-BDR,62:0/1.0w,9,5,5,0,5,0,0,55.56%,55.56%
69.63.244.89,cmts87.cmstk,34,34,9/2.0w,147,5,84,0,4,53,27,57.14%,3.40%
24.153.0.230,cmts22.mtnk,93,93,93:0/0.0w,47,5,33,0,5,28,0,70.21%,10.64%
69.63.244.231,cmts23.mtnk,119,119,119:0/0.0w,43,5,19,0,5,14,0,44.19%,11.63%
64.71.245.138,cmts25.mtnk,35,35,35:0/0.0w,52,5,30,0,4,1,25,57.69%,9.62%
24.153.0.143,cmts22.wlfdle,33,33-BDR,33:0/1.0w,107,5,45,0,5,40,0,42.06%,4.67%
69.63.244.231,cmts23.mtnk,129,129,129:0/0.0w,6,4,4,0,0,4,0,66.67%,66.67%
24.153.0.155,cmts25.ym,133,133,133:0/0.0w,54,4,23,0,2,5,16,42.59%,7.41%
69.63.244.100,cmts94.bloor,3,3-BDR,13/5.0w,8,3,4,0,0,4,0,50.00%,37.50%
69.63.244.132,cmts79.brntfd,18,18,12/1.0w,205,3,82,0,0,82,0,40.00%,1.46%
24.153.0.163,cmts85.mtmc,28,28-BDR,10/7.0w,34,3,18,0,3,4,11,52.94%,8.82%
